id,subject,body,type
239,,,push
77,,,push
213,Бесплатно доставим вам первый заказ👍,"Оформляйте скорее, доставим в удобное время!",push
218,👍 Новые скидки METRO в Instamart ,Успей заказать продукты по выгодной цене!,push
221,Дарим 500 рублей за приглашенного друга!,"Обнови приложение, получи промокод и делись им с друзьями",push
230,Скидка {{event.product.discount_percent}}% на ваш любимый товар,{{event.product.name}} из магазина {{event.store.name}},push
238,👀 Новые скидки METRO в Instamart,Успей заказать продукты по выгодной цене!,push
259,👌Обновились скидки METRO в Instamart,Заказывайте акционные товары пока они в наличии!,push
302,🏝 Скоро в отпуск и пригодится скидка!,50% скидка на чемоданы American Tourister в Instamart,push
306,👌Обновились скидки METRO в Instamart,Заказывайте акционные товары пока они в наличии!,push
374,Спасибо за выбор СберМаркета! ,"Продолжайте покупки с нами, ведь мы помогаем экономить силы и время.",push
382,Спасибо за выбор СберМаркета! ,"Продолжайте покупки с нами, ведь мы помогаем экономить силы и время.",push
342,,,push
345,👌Обновились скидки METRO в Instamart,Заказывайте акционные товары пока они в наличии!,push
358,🔥 Здорово получать скидки на нужные товары!,"Добавляйте их в ""Любимые""❤, и мы сообщим, когда на них будут хорошие скидки!",push
370,👌Обновились скидки METRO в Instamart,Заказывайте акционные товары пока они в наличии!,push
410,👌Обновились скидки METRO в Instamart,Заказывайте акционные товары пока они в наличии!,push
2043,,,push
2029,,,push
511,🏅Юбилейные скидки METRO в Instamart,Заказывайте акционные товары пока они в наличии!,push
535,🔥На 20% выгоднее товары онлайн в Instamart,"при заказе в сентябре из категории ""Дешевле, чем в магазине""",push
539,🔥На 20% выгоднее товары онлайн в Instamart,"при заказе в сентябре из категории ""Дешевле, чем в магазине""",push
561,Сегодня и завтра скидка 200 рублей,по промокоду 💛WOW💛 на заказ в Instamart,push
583,Cкидка 200 рублей на заказ в Instamart,по коду 💛WOW💛 только сегодня в воскресенье 29 сентября,push
557,Бесплатная доставка из Азбуки Вкуса,про коду AVFS19926 сегодня 27 сентября только до конца дня,push
568,Бесплатная доставка из Азбуки Вкуса,про коду AVFS19926 сегодня 27 сентября только до конца дня,push
579,Скидка 100 рублей на заказ в Сбермаркете,по коду 🍀sber1🍀 только сегодня и завтра!,push
593,Новые скидки METRO в Instamart,Заказывайте акционные товары пока они в наличии!,push
599,Спасибо за выбор Сбермаркета! ,"Продолжайте покупки с нами, ведь мы помогаем экономить силы и время.",push
603,Спасибо за выбор Сбермаркета! ,"Продолжайте покупки с нами, ведь мы помогаем экономить силы и время.",push
804,Спасибо за выбор СберМаркета! ,"Продолжайте покупки с нами, ведь мы помогаем экономить силы и время.",push
806,Спасибо за выбор СберМаркета! ,"Продолжайте покупки с нами, ведь мы помогаем экономить силы и время.",push
761,Вам скидка 99 рублей на заказ в Instamart,по коду 🍓99🍓 только до 7 ноября,push
766,Вам скидка 99 рублей на заказ в Instamart,по коду 🍓99🍓 только до 7 ноября,push
771,Вам скидка 99 рублей на заказ в Instamart,по коду 🍓99🍓 только до 7 ноября,push
776,Вам скидка 160 рублей на заказ в Instamart,по коду 🍒160🍒 только до 7 ноября,push
781,Вам скидка 160 рублей на заказ в Instamart,по коду 🍒160🍒 только до 7 ноября,push
786,Вам скидка 160 рублей на заказ в Instamart,по коду 🍒160🍒 только до 7 ноября,push
791,Для вас бесплатная доставка,по коду 🍇хочу🍇 только до 7 ноября при заказе в Instamart,push
796,Для вас бесплатная доставка,по коду 🍇хочу🍇 только до 7 ноября при заказе в Instamart,push
801,Для вас бесплатная доставка,по коду 🍇хочу🍇 только до 7 ноября при заказе в Instamart,push
889,Спасибо за выбор СберМаркета! ,"Продолжайте покупки с нами, ведь мы помогаем экономить силы и время.",push
890,Спасибо за выбор СберМаркета! ,"Продолжайте покупки с нами, ведь мы помогаем экономить силы и время.",push
924,Спасибо за выбор СберМаркета! ,"Продолжайте покупки с нами, ведь мы помогаем экономить силы и время.",push
925,Спасибо за выбор СберМаркета! ,"Продолжайте покупки с нами, ведь мы помогаем экономить силы и время.",push
958,Спасибо за выбор СберМаркета! ,"Продолжайте покупки с нами, ведь мы помогаем экономить силы и время.",push
959,Спасибо за выбор СберМаркета! ,"Продолжайте покупки с нами, ведь мы помогаем экономить силы и время.",push
1044,🔥 Встречайте новое название Instamart,Мы станем 💚СберМаркетом💚 после 15 ноября!,push
1025,Закажи сейчас на СберМаркете! ,Мы помогаем экономить силы и время. Более 2000 товаров со скидками до 40%!,push
1026,Закажи сейчас на СберМаркет! 🤩,Мы помогаем экономить силы и время. Более 2000 товаров со скидками до 40%!,push
2015,,,push
1056,🚛 СберМаркет открыт! Ждем вас!,"Станьте одним из первых, кто сделает заказ на СберМаркете!",push
1087,Теперь и кЛёвый берег!!!,"Мы открыли магазин на Левом берегу. Скидки до 40% 😍 
Теперь мы еще ближе. Расскажи друзьям, закажи родителям 👨‍👩‍👧‍👦",push
1090,Вкусные выходные с доставкой СберМаркет🥰😍,Заказывай из Азбуки Вкуса и ВкусВилла со скидкой 250 рублей по коду fast-310. Только 3 дня!!!,push
1098,Урра! 🤩 БЕСПЛАТНАЯ доставка в СберМаркет😍 ,Мы доставим БЕСПЛАТНО💰 твои любимые товары по промокоду SEPTEMBER20 при заказе в следующие 19 дней,push
1105,Урра 🤩 БЕСПЛАТНАЯ доставка в СберМаркет😍 ,Мы доставим 💰БЕСПЛАТНО💰 твои любимые товары по промокоду SEPTEMBER20 при заказе в следующие 10 дней,push
1110,Успей использовать промокод от СберМаркет🤩,"Не упусти шанс! БЕСПЛАТНАЯ🤩 доставка от СберМаркет по промокоду SEPTEMBER20
ОСТАЛОСЬ 2 ДНЯ😲",push
1118,Встречай новые скидки от СберМаркета 😍 ,"Заходи, скидки 30%!!! Категория ""Дешевле, чем в магазине"" 💰 ждёт тебя 🤗
",push
1123,🚀Псс..Теперь мы доставляем из Ленты😎,Новогодние скидки СберМаркета ждут тебя😋 Вперед за покупками!!!,push
1126,70% на новогодние украшения✨,А ты уже готов встречать Деда Мороза?? Бегом к нам!🏃‍♂️,push
1129,Вкусные выходные со СберМаркетом🥰😍,Заказывай из Азбуки Вкуса и ВкусВилла со скидкой 250 рублей по коду fast-311. Только 3 дня!!!,push
1132,,,push
1135,Маленькие радости 🍫,Батончик Snickers Crisper к каждому заказу в придачу.,push
1138,"Как насчёт, да?",Батончик Snickers Crisper к каждому заказу в придачу🍫,push
1148,Новогодние подарки продолжаются! ,Скидка 200р по промокоду HNY2020 только до 9 января.,push
1151,Старый Новый год не за горами 🎉 🎄,150 рублей на заказ по коду --- plus150 --- к праздничному столу только 3 дня!,push
1154,,,push
1157,Пора бы заказать продукты 🙃,По коду --15free-- доставка бесплатно сегодня и завтра,push
1160,Пришла пора заказать продукты! 🥧,Скидки ждут Вас! До 50% от цены берём на себя,push
1163,КИБЕР SALE дешевле не бывает😱,"Пора закупиться по полной, самые выгодные предложения в категории КИБЕРДНИ",push
1166,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1169,Теперь заказывать стало проще!,Мы открыли ещё два магазина ЛЕНТА в нашем городе🎉 Вперед за покупками! ,push
1172,Скидка 150 рублей только 3 дня🤩,На один заказ из Азбуки Вкуса и ВкусВилла от 500 рублей по промокоду bw310,push
1183,,,push
1186,,,push
1189,,,push
1192,Мы вас любим,Улыбнитесь❤,push
1195,,,push
1198,,,push
1200,А не пора ли пополнить запасы {{event.product.name}},"Ваш любимый товар заждался {{event.product.name}}
А не пора ли пополнить запасы {{event.product.name}}",push
1204,,,push
1207,,,push
1210,,,push
1214,,,push
1217,,,push
1221,,,push
1224,,,push
1227,,,push
1230,,,push
1233,,,push
1236,У нас новости 👇🏼,Теперь осуществляем оплату только по безналичному расчету ,push
1239,,,push
1242,,,push
1245,,,push
1248,,,push
1251,,,push
1255,А у нас приятные новости 🤗,Доставляем ещё из двух магазинов Ашан. Проверь свой адрес ,push
1258,🌷,Цветочек для самой красивой,push
1261,,,push
1264,,,push
1267,,,push
1270,,,push
1273,,,push
1276,Уважаемые клиенты! ,"В связи с повышенным спросом, время до ближайшего слота может быть увеличено. Мы уже занимаемся этим вопросом и скоро будем работать в штатном режиме. Приносим свои извинения за доставленные неудобства.",push
1282,Заказывайте скорее! 😋,Бережём ваше время и силы. Более 2000 товаров со скидками до 50%!,push
1289,Заказывайте скорее! 😋 ,Бережём ваше время и силы. Более 2000 товаров со скидками до 50%!,push
