id,name,parent_category_id
1,Продукты питания,0
2,Замороженные продукты,1
3,Замороженные овощи и фрукты,2
4,Замороженные полуфабрикаты,2
5,Рыба замороженная,2
6,Мясо замороженное,2
7,Мороженое,2
8,Пельмени и вареники,2
9,Бакалея,1
10,"Хлопья, мюсли, сухие завтраки",9
11,Макароны,9
12,Крупы,9
13,Диабетическое питание,9
14,"Мука, дрожжи, добавки",9
15,Растительные масла,9
16,Маринады и уксус,9
17,"Сахар, соль",9
18,"Сухарики, чипсы, снеки",9
19,"Чипсы, сухарики, снеки",1
20,"Молочные продукты, яйца",1
21,Йогурты,20
22,Питьевые йогурты,20
23,Молочные коктейли и напитки,20
24,Творожки и десерты,20
25,"Сырки, бисквиты",20
26,Молоко,20
27,Сливки,20
28,Кисломолочные продукты,20
29,Сметана,20
30,Творог,20
31,Сливочное масло и маргарин,20
32,Сгущенное молоко,20
33,Мороженое,20
34,Яйца,20
35,Сыры,1
36,Твердые и полутвердые сыры,35
37,Мягкие и полумягкие сыры,35
38,Рассольные сыры,35
39,Творожные сыры,35
40,Плавленые сыры,35
41,Сырные тарелки,35
42,Колбасные изделия и мясные деликатесы,1
43,Колбасы вареные,42
44,Колбасы варено-копченые и полукопченые,42
45,Колбасы сырокопченые и сыровяленые,42
46,Колбасы ливерные и кровяные,42
47,"Сосиски, сардельки",42
48,Ветчины,42
49,Мясные деликатесы,42
50,Паштеты и зельц,42
51,Хлеб и выпечка,1
52,"Хлеб, тосты и лаваш",51
53,Хлебцы,51
54,"Выпечка, кексы, рулеты",51
55,"Баранки, сухари и тарталетки",51
56,Сладости,1
57,Печенье и пряники,56
58,Вафли,56
59,"Торты, пироги и пирожные",56
60,Шоколад и шоколадные батончики,56
61,Конфеты и сладкие подарочные наборы,56
62,"Мармелад, зефир, пастила",56
63,Восточные сладости,56
64,"Жевательные резинки, драже",56
65,"Мед, варенье, паста",56
66,Сиропы и топпинги,56
67,Консервированные продукты,1
68,Мясные консервы,67
69,Рыбные консервы,67
70,Овощные консервы,67
71,"Оливки, маслины, каперсы",67
72,Грибные соленья,67
73,Консервированные фрукты и ягоды,67
74,Безалкогольные напитки и соки,1
75,"Соки, нектары и морсы",74
76,Газированные напитки,74
77,Вода питьевая и минеральная,74
78,Чай холодный,74
